#,Nome,Categoria,Favorito,Resolvidos,Nível,col_6
1262,,Leitura Múltipla,Strings,,4.819,2
1263,,Aliteração,Strings,,6.358,3
1264,,Um Problema Fácil!,Matemática,,589,7
1265,,DJ da Computação,Paradigmas,,330,6
1266,,Tornado!,Ad-Hoc,,2.298,7
1267,,Biblioteca Pascal,Ad-Hoc,,4.852,3
1268,,Missão Impossível,Geometria Computacional,,53,8
1269,,ICPC Ataca Novamente,Paradigmas,,152,7
1270,,Fibra Óptica,Grafos,,171,8
1271,,Onde estão meus Genes,Ad-Hoc,,915,5
1272,,Mensagem Oculta,Strings,,14.324,3
1273,,Justificador,Strings,,7.943,3
1274,,P-Networks,Estruturas e Bibliotecas,,233,5
1275,,Light Up,Grafos,,59,8
1276,,Faixa de Letras,Strings,,2.122,3
1277,,Pouca Frequência,Strings,,4.924,6
1278,,Justificador II,Strings,,5.098,1
1279,,Ano Bissexto ou Ano não Bissexto,Matemática,,4.318,6
1280,,Amigos,Matemática,,214,9
1281,,Ida à Feira,Estruturas e Bibliotecas,,10.893,3
1282,,Organizando Pacotes,Paradigmas,,288,7
1283,,Caixas e Pedras,Paradigmas,,108,5
1284,,Digitando no Telefone Celular,Strings,,968,6
1285,,Dígitos Diferentes,Ad-Hoc,,5.788,3
1286,,Motoboy,Paradigmas,,5.356,5
1287,,Processador Amigável de Inteiros,Strings,,2.737,8
1288,,Canhão de Destruição,Paradigmas,,3.331,5
1289,,Qual é a Probabilidade?,Matemática,,514,7
1290,,Caixas Muito Especiais,Ad-Hoc,,324,7
1291,,Será Isso Integração?,Geometria Computacional,,961,5
1292,,Problema com um Pentágono,Geometria Computacional,,1.448,4
1293,,Romeu e Julieta!,Geometria Computacional,,163,7
1294,,A Maior e Menor Caixa,Geometria Computacional,,582,7
1295,,Problema dos Pares Mais Próximos,Geometria Computacional,,2.419,9
1296,,Medianas,Geometria Computacional,,1.042,5
1297,,Proteção do Meio Ambiente,Matemática,,277,10
1298,,Corrija o Labirinto,Grafos,,314,5
1299,,Jogo de Mosaicos,Paradigmas,,117,7
1300,,Horas e Minutos,Ad-Hoc,,4.438,2
1301,,Produto do Intervalo,Estruturas e Bibliotecas,,2.064,6
1302,,Juntando Casais,Grafos,,234,8
1303,,Spurs Rocks,Estruturas e Bibliotecas,,2.823,9
1304,,Velocidade Média,Matemática,,987,6
1305,,Arredondamento por Valor de Corte,Strings,,2.497,3
1306,,Numerando Estradas,Matemática,,2.329,3
1307,,Tudo o que Você Precisa é Amor,Matemática,,2.553,4
1308,,Guerreiros Etruscos Nunca Jogam Xadrez,Matemática,,2.773,5
1309,,Formatação Monetária,Matemática,,3.138,4
1310,,Lucro,Paradigmas,,5.689,4
1311,,Companheiros de Exército,Ad-Hoc,,687,7
1312,,Empilhamento de Bolas,Paradigmas,,940,6
1313,,Dicionário Portuñol,Strings,,188,9
1314,,Labirintos de Cerca Viva,Grafos,,497,8
1315,,Não tão Convexo,Geometria Computacional,,143,10
1317,,"Eu Odeio SPAM, Mas Algumas Pessoas Amam",Grafos,,573,4
1318,,Bilhetes Falsos,Ad-Hoc,,9.530,3
1319,,Garota Hiperativa,Paradigmas,,183,9
1320,,Metrô Engenhoso,Ad-Hoc,,142,5
1321,,Jollo,Ad-Hoc,,837,6
1322,,Desejos das Crianças,Grafos,,301,9
1323,,Feynman,Matemática,,8.790,1
1324,,Bóson de Higgs,Matemática,,56,10
1325,,Mapas Bolha,Paradigmas,,157,4
1326,,Química,Estruturas e Bibliotecas,,347,9
1327,,Drop Out,Ad-Hoc,,351,5
1328,,Vá com Calma,Grafos,,68,6
1329,,Cara ou Coroa,Ad-Hoc,,18.166,2
1330,,A Terra Herdada por Tio Tom,Grafos,,391,8
1331,,Blocos,Ad-Hoc,,135,10
1332,,Um-Dois-Três,Strings,,17.359,2
1333,,Os Doces de Candy,Ad-Hoc,,48,6
1334,,Poluição Elétrica,Grafos,,64,10
1335,,Recuperação de Arquivos,Strings,,128,10
1336,,Cerca do Jardim,Geometria Computacional,,87,8
1337,,Poker do Rei,Ad-Hoc,,778,4
1338,,It-Miha,Matemática,,171,9
1339,,O Cubo Mágico do Avô,Ad-Hoc,,87,7
1340,,Eu Posso Adivinhar a Estrutura de Dados!,Estruturas e Bibliotecas,,7.164,2
1341,,Crianças em uma Grade,Strings,,490,8
1342,,Dado,Ad-Hoc,,892,4
1343,,Runner Pawns,Ad-Hoc,,136,6
1344,,Parceiros de Telecomunicação,Grafos,,146,7
1345,,Região Segura,Geometria Computacional,,47,10
1346,,Brincadeira de Criança,Matemática,,62,10
1347,,Mina Kriptonita,Matemática,,47,10
1348,,X-Mart,Grafos,,181,7
1349,,Efeito Ruído,Ad-Hoc,,217,5
1350,,Esta Sentença é Falsa,Paradigmas,,109,6
1351,,Supermercado,Ad-Hoc,,297,8
1352,,Loteria Quadrada,Matemática,,71,8
1353,,Super Poker,Matemática,,35,5
1354,,"Um Quadrado Grande, Por Favor",Paradigmas,,25,5
1355,,Compressor,Strings,,40,10
1356,,Júpiter Ataca!,Estruturas e Bibliotecas,,252,7
1357,,Em Braille,Ad-Hoc,,1.332,2
1358,,Cortando Extremidades,Geometria Computacional,,43,10
1359,,Taxa de Divisão de Terreno,Ad-Hoc,,66,9
1360,,Truque de Mágica,Ad-Hoc,,186,5
1361,,Desenhando o Edifício,Ad-Hoc,,614,4
1362,,Minha Camiseta Me Serve,Grafos,,1.986,6
1363,,Competição de Placas de Carros,Ad-Hoc,,144,8
1364,,Emoticons :-),Strings,,649,8
1365,,Procurando Assentos,Paradigmas,,602,7
1366,,Jogo de Varetas,Ad-Hoc,,3.462,2
1367,,Ajude!,Strings,,3.944,3
1368,,Cubos Coloridos,Ad-Hoc,,216,8
1369,,Gerente de Espaço,Ad-Hoc,,302,10
1370,,Regata de Cientistas,Geometria Computacional,,84,9
1371,,Fechem as Portas!,Matemática,,2.684,3
1372,,Doces,Paradigmas,,683,5
1373,,Sequências de DNA,Strings,,468,8
1374,,Eletricidade,Ad-Hoc,,281,6
1375,,Painel de Posições,Ad-Hoc,,1.389,6
1376,,Irmãos,Matemática,,304,6
1377,,Recuperador de Arquivos,Strings,,164,9
1378,,Triângulos Isósceles,Geometria Computacional,,631,9
1379,,Problema com Mediana e Média,Ad-Hoc,,4.792,1
1380,,Crescimento das Populações de Bacilos,Matemática,,556,8
1381,,Equações Diofantinas,Matemática,,650,7
1382,,"Elementar, meu Caro Watson!",Estruturas e Bibliotecas,,1.202,6
1383,,Sudoku,Ad-Hoc,,9.866,6
1384,,Sapo Preguiçoso,Grafos,,239,7
1385,,Recuperação de Relatório,Strings,,133,8
1386,,Códigos Ambíguos,Strings,,46,10
1387,,Og,Ad-Hoc,,13.133,1
1388,,Onde Estão as Bolhas?,Estruturas e Bibliotecas,,292,10
1389,,O Problema do Sapateiro Viajante,Grafos,,182,9
1390,,Bases,Matemática,,63,9
1391,,Quase Menor Caminho,Grafos,,1.778,7
1392,,Conta de Luz,Matemática,,259,6
1393,,Lajotas Hexagonais,Matemática,,3.289,2
1394,,Hooligan,Grafos,,740,8
1395,,Números e Operações,Paradigmas,,23,5
